activation,layers,min_loss,neurons
relu,4.0,0.17538392543792725,4.0
relu,4.0,0.01005080807954073,8.0
relu,4.0,0.0007238892721943557,16.0
relu,4.0,0.0003443136520218104,32.0
relu,4.0,0.0004915301105938852,64.0
relu,4.0,0.0002403874386800453,128.0
relu,4.0,0.0004154265043325722,256.0
sigmoid,4.0,0.6762353777885437,1.0
sigmoid,4.0,0.45033565163612366,2.0
sigmoid,4.0,0.4455832242965698,4.0
sigmoid,4.0,0.44505950808525085,8.0
sigmoid,4.0,0.3628619313240051,16.0
sigmoid,4.0,0.12584377825260162,32.0
sigmoid,4.0,0.01642530970275402,64.0
sigmoid,4.0,0.00289042666554451,128.0
sigmoid,4.0,0.0016436026198789477,256.0
tanh,4.0,0.4430615305900574,1.0
tanh,4.0,0.44255727529525757,2.0
tanh,4.0,0.3846959173679352,4.0
tanh,4.0,0.10473242402076721,8.0
tanh,4.0,0.0055690184235572815,16.0
tanh,4.0,0.001265113241970539,32.0
tanh,4.0,0.0017041233368217945,64.0
tanh,4.0,0.0019369791261851788,128.0
tanh,4.0,0.0024586846120655537,256.0
relu,4.0,2.151193857192993,1.0
relu,4.0,0.3627927899360657,2.0
relu,4.0,2.1512625217437744,4.0
relu,4.0,0.17439895868301392,8.0
relu,4.0,0.0005262616905383766,16.0
relu,4.0,0.0004799675371032208,32.0
relu,4.0,0.0003158407926093787,64.0
relu,4.0,0.0003411642974242568,128.0
relu,4.0,0.0002736536553129554,256.0
sigmoid,4.0,0.5357427597045898,1.0
sigmoid,4.0,0.4574393928050995,2.0
sigmoid,4.0,0.4096829295158386,4.0
sigmoid,4.0,0.39842936396598816,8.0
sigmoid,4.0,0.3916304409503937,16.0
sigmoid,4.0,0.39084193110466003,32.0
sigmoid,4.0,0.3918125331401825,64.0
sigmoid,4.0,0.38923460245132446,128.0
sigmoid,4.0,0.0008720263722352684,256.0
tanh,4.0,0.3937482535839081,1.0
tanh,4.0,0.1292296200990677,2.0
tanh,4.0,0.3893638253211975,4.0
tanh,4.0,0.3906736373901367,8.0
tanh,4.0,0.3903034031391144,16.0
tanh,4.0,0.38948288559913635,32.0
tanh,4.0,0.39041849970817566,64.0
tanh,4.0,0.3907800614833832,128.0
tanh,4.0,0.38978472352027893,256.0
relu,4.0,1.1308807134628296,1.0
relu,4.0,0.349783718585968,2.0
relu,4.0,0.3506341576576233,4.0
relu,4.0,0.0009465532493777573,8.0
relu,4.0,0.00031886642682366073,16.0
relu,4.0,0.00018222027574665844,32.0
relu,4.0,0.00010338534775655717,64.0
relu,4.0,7.169029413489625e-05,128.0
relu,4.0,5.230120223131962e-05,256.0
sigmoid,4.0,0.5525860786437988,1.0
sigmoid,4.0,0.5618990659713745,2.0
sigmoid,4.0,0.5137897729873657,4.0
sigmoid,4.0,0.48283177614212036,8.0
sigmoid,4.0,0.47705981135368347,16.0
sigmoid,4.0,0.4740423858165741,32.0
sigmoid,4.0,0.4209633767604828,64.0
sigmoid,4.0,0.0007977203349582851,128.0
sigmoid,4.0,0.0002701338962651789,256.0
tanh,4.0,0.5484508872032166,1.0
tanh,4.0,0.4727576673030853,2.0
tanh,4.0,0.4725426435470581,4.0
tanh,4.0,0.29899436235427856,8.0
tanh,4.0,0.0007437352905981243,16.0
tanh,4.0,0.4455278515815735,32.0
tanh,4.0,0.4678875505924225,64.0
tanh,4.0,0.467161625623703,128.0
tanh,4.0,0.46857374906539917,256.0
